Pupil Name,Date of Birth,This Year's Birthday,Month,Cake Needed On,BDs per Weekday and Month
Carmine Budd,5/3/2012,5/3/2022,May,Tuesday,15
Walker Capron,8/30/2015,8/30/2022,August,Tuesday,15
Hollyanne Tomaszewicz,5/3/2014,5/3/2022,May,Tuesday,15
Johna Kordova,11/29/2012,11/29/2022,November,Tuesday,12
Brit Craze,12/29/2012,12/29/2022,December,Thursday,20
Babs Swaysland,4/21/2013,4/21/2022,April,Thursday,11
Ronica Proppers,3/7/2015,3/7/2022,March,Monday,8
Sasha Corsor,8/9/2013,8/9/2022,August,Tuesday,15
Grethel Husset,8/7/2015,8/7/2022,August,Friday,24
Lotta Ucceli,6/17/2015,6/17/2022,June,Friday,30
Gerrie Bonehill,11/5/2012,11/5/2022,November,Friday,39
Buckie Ezzle,8/29/2015,8/29/2022,August,Monday,12
Kizzie Columbine,6/30/2012,6/30/2022,June,Thursday,12
Bobbie Cobbing,9/28/2012,9/28/2022,September,Wednesday,7
Dasha Traite,4/8/2014,4/8/2022,April,Friday,55
Janetta Dressell,8/26/2015,8/26/2022,August,Friday,24
Randall Barnfield,2/5/2012,2/5/2022,February,Friday,31
Vonni Mullin,3/21/2013,3/21/2022,March,Monday,8
Reg Watting,2/19/2012,2/19/2022,February,Friday,31
Stanley Monks,1/15/2012,1/15/2022,January,Friday,33
Cori Oolahan,11/25/2012,11/25/2022,November,Friday,39
Killian Cater,1/23/2015,1/23/2022,January,Friday,33
Angil Grundy,12/24/2011,12/24/2022,December,Friday,45
Winston Coltan,7/29/2013,7/29/2022,July,Friday,49
Elianora Killshaw,4/7/2014,4/7/2022,April,Thursday,11
Elsa Yakutin,7/3/2012,7/3/2022,July,Friday,49
Melodie Maine,10/15/2011,10/15/2022,October,Friday,32
Gena Hollyman,1/14/2013,1/14/2022,January,Friday,33
Vallie Beetles,5/21/2015,5/21/2022,May,Friday,31
Jada Lindenman,9/4/2014,9/4/2022,September,Friday,36
Consolata Augur,9/9/2013,9/9/2022,September,Friday,36
Gail Farnish,11/6/2012,11/6/2022,November,Friday,39
Jdavie Chard,7/20/2013,7/20/2022,July,Wednesday,19
Hartwell Drakeley,1/21/2014,1/21/2022,January,Friday,33
Tanitansy Lowther,12/4/2012,12/4/2022,December,Friday,45
Cherie Himsworth,12/2/2011,12/2/2022,December,Friday,45
Pail Weadick,4/21/2015,4/21/2022,April,Thursday,11
Ivy Bridgen,3/6/2012,3/6/2022,March,Friday,31
Porty Lowdiane,1/31/2015,1/31/2022,January,Monday,14
Emylee Shawel,5/2/2014,5/2/2022,May,Monday,7
Hayward MacKellen,4/29/2014,4/29/2022,April,Friday,55
Charita Mabee,8/27/2013,8/27/2022,August,Friday,24
Lelah Huyghe,10/16/2011,10/16/2022,October,Friday,32
Audre Balsdon,10/16/2012,10/16/2022,October,Friday,32
Melesa Carillo,7/23/2013,7/23/2022,July,Friday,49
Penny Nertney,4/24/2012,4/24/2022,April,Friday,55
Devan Soppett,7/16/2015,7/16/2022,July,Friday,49
Philippe Plume,8/16/2013,8/16/2022,August,Tuesday,15
Hunt Zamboniari,12/1/2013,12/1/2022,December,Thursday,20
Ralina O'Lunny,5/29/2014,5/29/2022,May,Friday,31
Marianne Doig,11/8/2011,11/8/2022,November,Tuesday,12
Hildegaard Loveredge,2/3/2012,2/3/2022,February,Thursday,12
Renee Ingray,7/26/2012,7/26/2022,July,Tuesday,12
Stevana Baddiley,2/16/2015,2/16/2022,February,Wednesday,8
Rafaelita Punshon,11/9/2011,11/9/2022,November,Wednesday,17
Dacie Harnetty,3/24/2012,3/24/2022,March,Thursday,19
Davidde Linch,1/22/2015,1/22/2022,January,Friday,33
Helsa Parham,5/4/2014,5/4/2022,May,Wednesday,8
Gustave Pickervance,11/3/2012,11/3/2022,November,Thursday,13
Stearn Quilleash,9/18/2011,9/18/2022,September,Friday,36
Bernhard Pakes,4/9/2013,4/9/2022,April,Friday,55
Zebadiah Nudde,11/9/2011,11/9/2022,November,Wednesday,17
Edgardo Bickell,3/31/2014,3/31/2022,March,Thursday,19
Alane Biddiss,7/29/2012,7/29/2022,July,Friday,49
Marylynne Hinckesman,10/10/2014,10/10/2022,October,Monday,14
Leslie Hann,5/24/2013,5/24/2022,May,Tuesday,15
Johna Degue,2/17/2012,2/17/2022,February,Thursday,12
Leupold Paladino,4/30/2014,4/30/2022,April,Friday,55
Adham Purrier,5/17/2012,5/17/2022,May,Tuesday,15
Adlai Trippitt,8/22/2013,8/22/2022,August,Monday,12
Anthony Paolazzi,12/17/2013,12/17/2022,December,Friday,45
Muhammad Daysh,4/14/2015,4/14/2022,April,Thursday,11
Reyna Dudson,4/27/2015,4/27/2022,April,Wednesday,12
Olivia Elsay,6/29/2014,6/29/2022,June,Wednesday,15
Rica Greensitt,8/21/2013,8/21/2022,August,Friday,24
Puff Wattam,6/29/2013,6/29/2022,June,Wednesday,15
Claudina Biasetti,2/20/2014,2/20/2022,February,Friday,31
Terrance Sibary,6/4/2015,6/4/2022,June,Friday,30
Celinka Skey,9/23/2014,9/23/2022,September,Friday,36
Dew Bartlett,11/23/2014,11/23/2022,November,Wednesday,17
Gaye Dallison,5/26/2015,5/26/2022,May,Thursday,12
Terry Lillow,8/10/2013,8/10/2022,August,Wednesday,10
Shel Vice,1/23/2015,1/23/2022,January,Friday,33
Drucy Greet,10/18/2011,10/18/2022,October,Tuesday,9
Ingelbert Sessuns,7/14/2013,7/14/2022,July,Thursday,12
Zak Lillee,8/26/2013,8/26/2022,August,Friday,24
Mirilla Davidow,11/21/2014,11/21/2022,November,Monday,11
Buiron Crauford,3/18/2012,3/18/2022,March,Friday,31
Gizela Oke,4/30/2015,4/30/2022,April,Friday,55
Candace Glowacz,1/3/2015,1/3/2022,January,Monday,14
Rockey Center,1/30/2014,1/30/2022,January,Friday,33
Lannie Bessey,2/6/2012,2/6/2022,February,Friday,31
Blanche Edling,11/2/2012,11/2/2022,November,Wednesday,17
Yevette Crimpe,4/15/2015,4/15/2022,April,Friday,55
Kimmy Brody,3/13/2012,3/13/2022,March,Friday,31
Burnaby Gosby,9/9/2013,9/9/2022,September,Friday,36
Bearnard Swainston,1/11/2013,1/11/2022,January,Tuesday,12
Chrissie Torrans,8/2/2014,8/2/2022,August,Tuesday,15
Marc Bailey,9/28/2014,9/28/2022,September,Wednesday,7
Merl Pudner,10/3/2014,10/3/2022,October,Monday,14
Ivar Noddings,5/5/2013,5/5/2022,May,Thursday,12
Maryjo Dewicke,2/9/2012,2/9/2022,February,Wednesday,8
Kippar Lambrecht,6/24/2012,6/24/2022,June,Friday,30
Donielle Selwyne,3/3/2015,3/3/2022,March,Thursday,19
Kerstin Escreet,10/28/2013,10/28/2022,October,Friday,32
Theresina Woolnough,9/19/2014,9/19/2022,September,Monday,7
Marie Antuk,8/11/2015,8/11/2022,August,Thursday,10
Dolorita Borrows,11/20/2011,11/20/2022,November,Friday,39
Cass Seivertsen,3/1/2015,3/1/2022,March,Tuesday,13
Trumaine Goncalo,1/9/2012,1/9/2022,January,Friday,33
Frank Mersh,9/4/2014,9/4/2022,September,Friday,36
Magdalene Treend,10/20/2011,10/20/2022,October,Thursday,14
Blanca Arnaez,4/27/2015,4/27/2022,April,Wednesday,12
Shirline Saben,2/7/2012,2/7/2022,February,Monday,12
Grace Fernie,6/20/2014,6/20/2022,June,Monday,9
Theda Ryam,6/15/2013,6/15/2022,June,Wednesday,15
Ginny Sebyer,12/22/2014,12/22/2022,December,Thursday,20
Jesse Worsall,4/24/2015,4/24/2022,April,Friday,55
Sammy Ferrarotti,7/23/2013,7/23/2022,July,Friday,49
Alta Ianittello,1/3/2013,1/3/2022,January,Monday,14
Joye Sleit,7/29/2013,7/29/2022,July,Friday,49
Hanny Cullity,7/1/2015,7/1/2022,July,Friday,49
Fair Brandi,6/14/2012,6/14/2022,June,Tuesday,11
Derry Crowest,8/2/2015,8/2/2022,August,Tuesday,15
Sasha Tukesby,5/19/2013,5/19/2022,May,Thursday,12
Jeffry De Blasio,6/9/2012,6/9/2022,June,Thursday,12
Mildrid Blurton,7/4/2013,7/4/2022,July,Monday,11
Benedetto Staker,9/11/2012,9/11/2022,September,Friday,36
Yalonda Cranch,4/8/2015,4/8/2022,April,Friday,55
Andeee Dorrity,7/25/2015,7/25/2022,July,Monday,11
Aron Cosslett,7/16/2013,7/16/2022,July,Friday,49
Agretha Ivanchikov,9/23/2011,9/23/2022,September,Friday,36
Desirae Tondeur,7/15/2014,7/15/2022,July,Friday,49
De witt Moorton,6/6/2014,6/6/2022,June,Monday,9
Etti Ehlerding,11/23/2012,11/23/2022,November,Wednesday,17
Stavros Rhead,11/20/2014,11/20/2022,November,Friday,39
Ansley Took,8/17/2015,8/17/2022,August,Wednesday,10
Langston Janjic,1/6/2014,1/6/2022,January,Thursday,6
Yasmin Jinkins,9/4/2011,9/4/2022,September,Friday,36
Corry Lassells,11/24/2011,11/24/2022,November,Thursday,13
Kareem Shieldon,4/11/2012,4/11/2022,April,Monday,10
Blair Troyes,12/19/2013,12/19/2022,December,Monday,20
Ivy Briscam,1/7/2014,1/7/2022,January,Friday,33
Billie Keyte,4/10/2013,4/10/2022,April,Friday,55
Rhodie Lissimore,1/9/2012,1/9/2022,January,Friday,33
Jeannie Clausen-Thue,12/17/2012,12/17/2022,December,Friday,45
Lonnard Stivey,5/2/2014,5/2/2022,May,Monday,7
Jany Batcock,9/13/2012,9/13/2022,September,Tuesday,12
Demetris Aslett,7/23/2013,7/23/2022,July,Friday,49
Tammy Elcombe,7/13/2013,7/13/2022,July,Wednesday,19
Eddy O'Gaven,8/26/2013,8/26/2022,August,Friday,24
Stacee Martine,9/6/2013,9/6/2022,September,Tuesday,12
Vivyanne Aughtie,6/23/2013,6/23/2022,June,Thursday,12
Flinn Tollfree,3/12/2013,3/12/2022,March,Friday,31
Indira Verna,6/24/2012,6/24/2022,June,Friday,30
Maximilianus Hannam,12/11/2012,12/11/2022,December,Friday,45
Galvan Pioch,12/4/2013,12/4/2022,December,Friday,45
Margi Sentance,4/26/2015,4/26/2022,April,Tuesday,4
Ches Thornebarrow,1/14/2014,1/14/2022,January,Friday,33
Evelin Myott,8/2/2015,8/2/2022,August,Tuesday,15
Emmalyn Piegrome,12/18/2014,12/18/2022,December,Friday,45
Lindy Wallman,11/27/2012,11/27/2022,November,Friday,39
Kori Feavers,12/7/2011,12/7/2022,December,Wednesday,9
Gussy Dowdell,7/8/2014,7/8/2022,July,Friday,49
Merci Tutsell,12/1/2014,12/1/2022,December,Thursday,20
Kameko Sherer,8/4/2012,8/4/2022,August,Thursday,10
Amye Barwis,6/5/2012,6/5/2022,June,Friday,30
Louisa McRamsey,8/23/2015,8/23/2022,August,Tuesday,15
Aveline Peggram,1/18/2015,1/18/2022,January,Tuesday,12
Valerie MacDonagh,7/4/2014,7/4/2022,July,Monday,11
Ileana Paolicchi,6/3/2012,6/3/2022,June,Friday,30
Warden McDonnell,12/23/2013,12/23/2022,December,Friday,45
Cristi Hargrove,8/16/2012,8/16/2022,August,Tuesday,15
Warde Fullwood,10/19/2011,10/19/2022,October,Wednesday,13
Tristan Parman,12/18/2012,12/18/2022,December,Friday,45
Patience Turfin,3/23/2012,3/23/2022,March,Wednesday,6
Melva Bradburn,7/1/2014,7/1/2022,July,Friday,49
Robinett Kingaby,2/27/2015,2/27/2022,February,Friday,31
Jennee Portch,4/1/2012,4/1/2022,April,Friday,55
Tomi Murrison,5/11/2015,5/11/2022,May,Wednesday,8
Freddi Phillps,11/10/2011,11/10/2022,November,Thursday,13
Hagan Rawne,10/4/2014,10/4/2022,October,Tuesday,9
Frieda Peart,3/2/2012,3/2/2022,March,Wednesday,6
Lucien Crean,12/8/2013,12/8/2022,December,Thursday,20
Gilemette Vezey,3/12/2013,3/12/2022,March,Friday,31
Janith Amburgy,4/17/2013,4/17/2022,April,Friday,55
Cross Oleksinski,1/14/2015,1/14/2022,January,Friday,33
Krystle Davage,7/27/2012,7/27/2022,July,Wednesday,19
Doria Oulet,7/28/2014,7/28/2022,July,Thursday,12
Normie Cleave,3/20/2015,3/20/2022,March,Friday,31
Waly Tomet,2/9/2014,2/9/2022,February,Wednesday,8
Wadsworth Gores,12/20/2011,12/20/2022,December,Tuesday,8
Kyrstin Liebermann,12/8/2011,12/8/2022,December,Thursday,20
Deni Baudin,11/3/2011,11/3/2022,November,Thursday,13
Ceciley Kubicki,7/28/2015,7/28/2022,July,Thursday,12
Jordanna Siley,4/22/2013,4/22/2022,April,Friday,55
Bobbette Whiteley,2/7/2013,2/7/2022,February,Monday,12
Peyton Addekin,5/11/2013,5/11/2022,May,Wednesday,8
Lief Barajaz,2/19/2012,2/19/2022,February,Friday,31
Esmaria Tawn,7/20/2013,7/20/2022,July,Wednesday,19
Suzanne Guiso,6/4/2013,6/4/2022,June,Friday,30
Korella Lavelle,5/12/2013,5/12/2022,May,Thursday,12
Harold Heminsley,10/16/2012,10/16/2022,October,Friday,32
Minnaminnie Vaneev,5/26/2014,5/26/2022,May,Thursday,12
Amitie Elvy,10/6/2013,10/6/2022,October,Thursday,14
Markus Madill,8/21/2014,8/21/2022,August,Friday,24
Carmon Phear,1/9/2013,1/9/2022,January,Friday,33
Freddie Eldered,6/25/2015,6/25/2022,June,Friday,30
Vallie Payton,10/8/2012,10/8/2022,October,Friday,32
Rafaello Shelp,12/25/2014,12/25/2022,December,Friday,45
Elana Dupree,4/9/2012,4/9/2022,April,Friday,55
Davita Reder,7/21/2013,7/21/2022,July,Thursday,12
Zedekiah Anstie,9/8/2011,9/8/2022,September,Thursday,14
Cassie Margaritelli,9/20/2011,9/20/2022,September,Tuesday,12
Sinclair Blacklock,5/5/2015,5/5/2022,May,Thursday,12
Farrell Nise,1/8/2013,1/8/2022,January,Friday,33
Georgena Richings,5/22/2015,5/22/2022,May,Friday,31
Kahlil Buie,9/28/2012,9/28/2022,September,Wednesday,7
Drusi Beckenham,4/14/2012,4/14/2022,April,Thursday,11
Bogey Andresen,1/23/2012,1/23/2022,January,Friday,33
Jobi Dreossi,4/15/2015,4/15/2022,April,Friday,55
Isacco Holston,6/28/2012,6/28/2022,June,Tuesday,11
Andris Somerbell,3/27/2015,3/27/2022,March,Friday,31
Casey Kelshaw,2/24/2015,2/24/2022,February,Thursday,12
Dru Lorryman,8/15/2012,8/15/2022,August,Monday,12
Gothart Duigan,2/19/2014,2/19/2022,February,Friday,31
Jarred Aggas,1/14/2014,1/14/2022,January,Friday,33
Emili Matyja,1/5/2013,1/5/2022,January,Wednesday,14
Sherilyn Jilkes,3/22/2012,3/22/2022,March,Tuesday,13
Jacklin Scoyne,1/29/2015,1/29/2022,January,Friday,33
Kip Bannell,10/18/2012,10/18/2022,October,Tuesday,9
Miles Pavitt,7/27/2015,7/27/2022,July,Wednesday,19
Hedvig Abbot,3/20/2014,3/20/2022,March,Friday,31
Melisa Fibbens,3/31/2015,3/31/2022,March,Thursday,19
Jecho Ebbrell,11/2/2014,11/2/2022,November,Wednesday,17
Barris Traves,11/18/2013,11/18/2022,November,Friday,39
Norrie Kencott,7/25/2012,7/25/2022,July,Monday,11
Randell Gummow,8/1/2013,8/1/2022,August,Monday,12
Robby Scrivener,11/19/2014,11/19/2022,November,Friday,39
Gonzales Blanchard,6/4/2013,6/4/2022,June,Friday,30
Marcela Gath,11/5/2011,11/5/2022,November,Friday,39
Meryl Laytham,11/22/2012,11/22/2022,November,Tuesday,12
Jacinda Gelderd,5/12/2015,5/12/2022,May,Thursday,12
Ilyssa Fortie,5/21/2015,5/21/2022,May,Friday,31
Pascale Casini,5/14/2013,5/14/2022,May,Friday,31
Katlin Maulden,2/19/2013,2/19/2022,February,Friday,31
Perkin Caughey,10/16/2012,10/16/2022,October,Friday,32
Leopold Banton,7/21/2012,7/21/2022,July,Thursday,12
Brittaney Cumberpatch,8/24/2013,8/24/2022,August,Wednesday,10
Glynda Lidierth,1/23/2015,1/23/2022,January,Friday,33
Lukas Gallon,12/12/2011,12/12/2022,December,Monday,20
Massimo Bedminster,4/13/2014,4/13/2022,April,Wednesday,12
Franciska Betonia,7/11/2012,7/11/2022,July,Monday,11
Kathrine Ducastel,5/10/2012,5/10/2022,May,Tuesday,15
Jaymee Mannakee,10/2/2012,10/2/2022,October,Friday,32
Cam Riccardini,2/1/2015,2/1/2022,February,Tuesday,13
Jamima Cossor,11/5/2013,11/5/2022,November,Friday,39
Red Braybrook,5/12/2012,5/12/2022,May,Thursday,12
Agnese Wahlberg,7/18/2013,7/18/2022,July,Monday,11
Erasmus Simmers,12/29/2014,12/29/2022,December,Thursday,20
Amye Berni,10/3/2014,10/3/2022,October,Monday,14
Korney Perring,9/23/2013,9/23/2022,September,Friday,36
Tiphany Yepiskov,6/27/2015,6/27/2022,June,Monday,9
Jeannette Kocher,7/7/2013,7/7/2022,July,Thursday,12
Brig Tremontana,3/1/2014,3/1/2022,March,Tuesday,13
Hiram Birkenshaw,7/3/2013,7/3/2022,July,Friday,49
Louis Gabbatiss,2/22/2012,2/22/2022,February,Tuesday,13
Christoforo Gillon,2/14/2012,2/14/2022,February,Monday,12
Tatum Daughton,4/8/2015,4/8/2022,April,Friday,55
Amberly Wones,7/22/2013,7/22/2022,July,Friday,49
Suzanna Richardeau,5/7/2013,5/7/2022,May,Friday,31
Jamima Heed,9/10/2011,9/10/2022,September,Friday,36
Sandy Helks,4/2/2013,4/2/2022,April,Friday,55
Gabbi Dowdell,6/22/2013,6/22/2022,June,Wednesday,15
Faustine Trimmell,12/22/2013,12/22/2022,December,Thursday,20
Keelia McBoyle,3/21/2015,3/21/2022,March,Monday,8
Wanids Jaffrey,7/12/2013,7/12/2022,July,Tuesday,12
Flint Donlon,3/10/2015,3/10/2022,March,Thursday,19
Emile Sprules,2/18/2014,2/18/2022,February,Friday,31
Ferne Poure,5/21/2015,5/21/2022,May,Friday,31
Antoine Haycox,9/14/2014,9/14/2022,September,Wednesday,7
Henka Tartt,5/31/2014,5/31/2022,May,Tuesday,15
Glennis Eastlake,10/25/2012,10/25/2022,October,Tuesday,9
Norris Denness,7/13/2014,7/13/2022,July,Wednesday,19
Michele Keford,3/15/2015,3/15/2022,March,Tuesday,13
Chere Vinson,3/4/2013,3/4/2022,March,Friday,31
Natalie Swynfen,10/6/2013,10/6/2022,October,Thursday,14
Zane Slaght,12/15/2011,12/15/2022,December,Thursday,20
Penni Nobriga,5/27/2014,5/27/2022,May,Friday,31
Deb Martina,3/22/2013,3/22/2022,March,Tuesday,13
Alix McGonnell,10/20/2012,10/20/2022,October,Thursday,14
Poppy Denniston,11/12/2012,11/12/2022,November,Friday,39
Dino Behr,12/20/2012,12/20/2022,December,Tuesday,8
Nikolai Paynton,4/6/2015,4/6/2022,April,Wednesday,12
Kalindi Abella,12/5/2011,12/5/2022,December,Monday,20
Lina Jedrzejczyk,9/13/2014,9/13/2022,September,Tuesday,12
Darrick Shellard,3/27/2013,3/27/2022,March,Friday,31
Eunice Brazur,1/16/2012,1/16/2022,January,Friday,33
Livvyy Vasquez,9/15/2011,9/15/2022,September,Thursday,14
Hyacintha Figgen,6/2/2012,6/2/2022,June,Thursday,12
Reggis Daniello,10/16/2014,10/16/2022,October,Friday,32
Braden Berrane,4/30/2015,4/30/2022,April,Friday,55
Gil Wyrall,12/13/2011,12/13/2022,December,Tuesday,8
Emylee Yurygyn,4/24/2014,4/24/2022,April,Friday,55
Rori Colvill,4/8/2014,4/8/2022,April,Friday,55
Margot Ibbitson,2/24/2015,2/24/2022,February,Thursday,12
Brenden Greengrass,11/20/2012,11/20/2022,November,Friday,39
Pepi Marte,12/30/2013,12/30/2022,December,Friday,45
Lindi Veare,8/27/2014,8/27/2022,August,Friday,24
Randi Slucock,8/16/2015,8/16/2022,August,Tuesday,15
Tate Guitton,7/9/2014,7/9/2022,July,Friday,49
Farris Queree,11/11/2013,11/11/2022,November,Friday,39
Janina Goulstone,6/20/2012,6/20/2022,June,Monday,9
Samara McCuaig,9/6/2012,9/6/2022,September,Tuesday,12
Austin Sangwin,7/7/2014,7/7/2022,July,Thursday,12
Jasmina Langforth,4/3/2012,4/3/2022,April,Friday,55
Marve Geaney,4/15/2014,4/15/2022,April,Friday,55
Alyda Drinkel,8/22/2012,8/22/2022,August,Monday,12
Karry McLean,10/5/2011,10/5/2022,October,Wednesday,13
Jorgan Beggan,2/28/2015,2/28/2022,February,Monday,12
Ned Mathouse,11/12/2013,11/12/2022,November,Friday,39
Harrietta Chumley,1/20/2012,1/20/2022,January,Thursday,6
Florida Forestall,11/2/2012,11/2/2022,November,Wednesday,17
Dodie Potteril,10/5/2011,10/5/2022,October,Wednesday,13
Lacey Addeycott,8/28/2013,8/28/2022,August,Friday,24
Yoshiko Cona,12/23/2011,12/23/2022,December,Friday,45
Maggi Readwood,2/7/2014,2/7/2022,February,Monday,12
Davon Regglar,12/27/2012,12/27/2022,December,Tuesday,8
Laird Dainty,6/27/2015,6/27/2022,June,Monday,9
Melvin Halfhyde,5/12/2012,5/12/2022,May,Thursday,12
Emlen Dumingo,11/19/2014,11/19/2022,November,Friday,39
Aliza Tarbett,4/6/2014,4/6/2022,April,Wednesday,12
Rosalynd Henrion,1/26/2013,1/26/2022,January,Wednesday,14
Agata Martyn,11/23/2013,11/23/2022,November,Wednesday,17
Basia Oswal,7/6/2015,7/6/2022,July,Wednesday,19
Trumaine Beggs,8/31/2012,8/31/2022,August,Wednesday,10
Loreen MacCauley,6/7/2015,6/7/2022,June,Tuesday,11
Lynea Zorzi,1/24/2013,1/24/2022,January,Monday,14
Hans Bolstridge,11/29/2012,11/29/2022,November,Tuesday,12
Irvine Roycroft,8/11/2013,8/11/2022,August,Thursday,10
Thorstein Valente,3/11/2014,3/11/2022,March,Friday,31
Rosemonde Grovier,4/7/2015,4/7/2022,April,Thursday,11
Pepe Elsey,12/4/2014,12/4/2022,December,Friday,45
Nick Jurzyk,12/26/2014,12/26/2022,December,Monday,20
Katharina Joscelyne,4/17/2014,4/17/2022,April,Friday,55
Skip Geipel,9/25/2014,9/25/2022,September,Friday,36
Parrnell Penrith,9/4/2011,9/4/2022,September,Friday,36
Reggis Ferandez,3/18/2014,3/18/2022,March,Friday,31
Valentine Bischof,6/28/2014,6/28/2022,June,Tuesday,11
Adah Townson,5/2/2013,5/2/2022,May,Monday,7
Andy Yosifov,6/15/2015,6/15/2022,June,Wednesday,15
Tracey Milham,1/2/2015,1/2/2022,January,Friday,33
Tammie Meynell,4/10/2014,4/10/2022,April,Friday,55
Haywood Tithecote,10/28/2013,10/28/2022,October,Friday,32
Caye Gove,8/13/2013,8/13/2022,August,Friday,24
Armstrong Nutman,1/5/2012,1/5/2022,January,Wednesday,14
Mariska Bront,9/20/2013,9/20/2022,September,Tuesday,12
Shina Ivanin,7/5/2013,7/5/2022,July,Tuesday,12
Vance Bissiker,6/26/2013,6/26/2022,June,Friday,30
Ebenezer Tussaine,2/28/2015,2/28/2022,February,Monday,12
Findley Enriques,1/17/2014,1/17/2022,January,Monday,14
Rosamond Belshaw,2/6/2014,2/6/2022,February,Friday,31
Barclay Fieldgate,4/30/2012,4/30/2022,April,Friday,55
Tammie O' Connell,12/29/2011,12/29/2022,December,Thursday,20
Jami Plunket,7/16/2014,7/16/2022,July,Friday,49
Stacee Spinetti,4/20/2015,4/20/2022,April,Wednesday,12
Correna Segrave,7/9/2013,7/9/2022,July,Friday,49
Gil Hele,5/3/2012,5/3/2022,May,Tuesday,15
Isaiah Doig,11/1/2013,11/1/2022,November,Tuesday,12
Davidson Quodling,6/19/2014,6/19/2022,June,Friday,30
Saul Swaby,7/28/2014,7/28/2022,July,Thursday,12
Melanie Glassard,8/22/2013,8/22/2022,August,Monday,12
Sharity Galland,1/16/2012,1/16/2022,January,Friday,33
Antoine Lillgard,5/10/2014,5/10/2022,May,Tuesday,15
Dorotea Wadesworth,9/12/2011,9/12/2022,September,Monday,7
Kimberlee Ciani,10/24/2014,10/24/2022,October,Monday,14
Pauline Dorsey,3/3/2015,3/3/2022,March,Thursday,19
Bettina Forward,7/7/2015,7/7/2022,July,Thursday,12
Mike Ginnelly,10/30/2011,10/30/2022,October,Friday,32
Conroy Hatcliffe,6/18/2012,6/18/2022,June,Friday,30
Cecil Gavaghan,1/12/2013,1/12/2022,January,Wednesday,14
Filippa Pattingson,11/4/2014,11/4/2022,November,Friday,39
Janene Harford,2/27/2012,2/27/2022,February,Friday,31
Carri Livings,7/27/2012,7/27/2022,July,Wednesday,19
Mitzi Kleinhandler,10/19/2013,10/19/2022,October,Wednesday,13
Shaine Matas,10/16/2012,10/16/2022,October,Friday,32
Fraze Tutin,9/2/2013,9/2/2022,September,Friday,36
Nola Mallett,6/10/2015,6/10/2022,June,Friday,30
Hardy Burford,4/5/2014,4/5/2022,April,Tuesday,4
Sarine Pedlingham,9/16/2013,9/16/2022,September,Friday,36
Bary Amyes,7/20/2013,7/20/2022,July,Wednesday,19
Berthe Sheerman,9/29/2013,9/29/2022,September,Thursday,14
Charisse Divina,10/21/2014,10/21/2022,October,Friday,32
Calla Emms,7/22/2013,7/22/2022,July,Friday,49
West Breheny,4/25/2015,4/25/2022,April,Monday,10
Patsy Piner,9/29/2013,9/29/2022,September,Thursday,14
Fairleigh Janusz,2/28/2012,2/28/2022,February,Monday,12
Rodrick Lepere,9/19/2012,9/19/2022,September,Monday,7
Kissie Burkert,7/28/2015,7/28/2022,July,Thursday,12
Alanson Joost,7/10/2015,7/10/2022,July,Friday,49
Shelly Deares,7/17/2014,7/17/2022,July,Friday,49
Angy Moseby,2/27/2012,2/27/2022,February,Friday,31
Corabel Triggol,2/5/2015,2/5/2022,February,Friday,31
Jose Kennan,9/23/2011,9/23/2022,September,Friday,36
Ferd Dey,4/5/2015,4/5/2022,April,Tuesday,4
Katlin Bumphrey,2/28/2012,2/28/2022,February,Monday,12
Dana Gauld,7/15/2014,7/15/2022,July,Friday,49
Alys McReidy,10/21/2011,10/21/2022,October,Friday,32
Maure Kenwell,10/20/2012,10/20/2022,October,Thursday,14
Virgie Roark,8/12/2015,8/12/2022,August,Friday,24
Jacklin Biggerstaff,5/30/2015,5/30/2022,May,Monday,7
Wade Fautly,9/28/2014,9/28/2022,September,Wednesday,7
Loydie Capewell,4/6/2014,4/6/2022,April,Wednesday,12
Emmalynn Sankey,6/11/2014,6/11/2022,June,Friday,30
Shannon Gerring,8/30/2013,8/30/2022,August,Tuesday,15
Denna Cornewall,10/17/2011,10/17/2022,October,Monday,14
Meyer Barca,7/13/2014,7/13/2022,July,Wednesday,19
Goldia Macklin,1/17/2013,1/17/2022,January,Monday,14
Curry Dawbery,4/25/2013,4/25/2022,April,Monday,10
Heidi Elderkin,11/16/2012,11/16/2022,November,Wednesday,17
Peggie Derrett,6/29/2012,6/29/2022,June,Wednesday,15
Ingunna Hauck,1/26/2015,1/26/2022,January,Wednesday,14
Emmott Gosson,2/1/2012,2/1/2022,February,Tuesday,13
Guinna O'Currine,2/7/2015,2/7/2022,February,Monday,12
Haleigh Causier,5/31/2012,5/31/2022,May,Tuesday,15
Karel Hovenden,10/6/2014,10/6/2022,October,Thursday,14
Ragnar Heathcott,2/3/2015,2/3/2022,February,Thursday,12
Axe Gleder,5/3/2014,5/3/2022,May,Tuesday,15
Poul Frane,4/11/2012,4/11/2022,April,Monday,10
Jerry Pelerin,11/17/2011,11/17/2022,November,Thursday,13
Gayler Littledike,12/8/2013,12/8/2022,December,Thursday,20
Bartlett Chilvers,8/22/2015,8/22/2022,August,Monday,12
Harwell Munnings,12/25/2013,12/25/2022,December,Friday,45
Russell Constantine,11/14/2012,11/14/2022,November,Monday,11
Zulema Ludlom,1/25/2015,1/25/2022,January,Tuesday,12
Dewain Wogdon,10/10/2014,10/10/2022,October,Monday,14
